rank,address,balance_raw,balance_formatted,percentage_of_supply
18028,0xfa26d30d9255c6554ab0c8624a12f464973c9a25,999999999996982575,0.999999999996982525,0.000000
18029,0x644385edb5fe37ffcf9525fb205fd9cd4d877543,999999999996519107,0.999999999996519118,0.000000
18030,0x660ca644de75bb876e4322a0cd599154a02b0745,999999999996479013,0.999999999996479039,0.000000
18031,0xba2b51078e3a7416e9c48b81561662078a0b70c7,999999999996421910,0.999999999996421862,0.000000
18032,0xf9c8c6dc46ef7ec773550e5abfa45e1614c70b66,999999999995859819,0.999999999995859867,0.000000
18033,0xe6a3e8d97349c4c65f4dcb592011264a7f74cd8c,999999999995851132,0.999999999995851097,0.000000
18034,0x7957aff1caf4d767998d4caad5a589f8b952a9ae,999999999995849953,0.999999999995849986,0.000000
18035,0x34a87195e2f6caec2ade8123c556ef5f06ec160d,999999999995848646,0.999999999995848654,0.000000
18036,0xc614f147909b5142101fa7373ca839bbf34e57d3,999999999995800319,0.999999999995800359,0.000000
18037,0x65b6a884a4cef309d2a5c52ad53d89cc32c0d4f4,999999999995781902,0.999999999995781930,0.000000
18038,0x137bf208d176636026ee274231c20094ee54747d,999999999995742917,0.999999999995742961,0.000000
18039,0xad3fa14b4bae82552d205e01977ba33015fdaa5a,999999999995609429,0.999999999995609401,0.000000
18040,0x3b66cb26ebd65f8190d671f0b91aa9860b939f2e,999999999995492591,0.999999999995492606,0.000000
18041,0x26bf69dc5b8bcc8a69153dc46d9cbd8ec6d90323,999999999995470904,0.999999999995470956,0.000000
18042,0x62f9811c1ad529cd6d3f3715013d0bd8deae8cbb,999999999995445954,0.999999999995445976,0.000000
18043,0xc4293415a2292637800d5747bbacfb530216d6aa,999999999995350607,0.999999999995350608,0.000000
18044,0xfa2ae6d3916a6ae72ca2780f5ca0ac0e061172a8,999999999995096244,0.999999999995096256,0.000000
18045,0x5b9e25e1c419fee7c4dab5374a96c87ae32a90b5,999999999994737195,0.999999999994737210,0.000000
18046,0x9a7e32ae7eb1d19f4fcd6b0d738b6c70ea9e6b3b,999999999994715361,0.999999999994715338,0.000000
18047,0x83ffcfb6ddaf2702bde40991ddb8349171e882f6,999999999994668682,0.999999999994668709,0.000000
